Filename	IsInterpolated	MeasCount	Longitude	UmtsAsnVersion1.0.0Latitude	SecCode	BroadcastCode	CenterFreq	Date	Time	ScannerID	HGT_AGL	SignalLevels
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_62_1960	62	1960	7/15/2014	16:15:08	1064136974870	10001	0	lVtW8mL5dDOGAsQk7WlAjg==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_18_1960	18	1960	7/15/2014	16:15:08	1064147099382	10001	0	mXfdNjYi6EXQ12hiA71eJg==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_50_1960	50	1960	7/15/2014	16:15:08	1064169648100	10001	0	0Z9dex56eRql84HJCf8eYw==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_61_1960	61	1960	7/15/2014	16:15:08	1064170628818	10001	0	Vl0TIaMh7yrYtUtjrSHseQ==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_70_1960	70	1960	7/15/2014	16:15:08	1064174821023	10001	0	ENY0n5H7FmdwmHv9x6+xkw==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_63_1960	63	1960	7/15/2014	16:15:08	1064148038049	10001	0	7XiMIRGloPPsW2Y+Oz38PA==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_47_1960	47	1960	7/15/2014	16:15:08	1064160233741	10001	0	438jOxzWNWwG+73k87Ywbg==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_11_1960	11	1960	7/15/2014	16:15:08	1064165518870	10001	0	cqHc2KpiiDQppVdESQzjsQ==
\das_output_NOT_encrypted.dmm	False	36	-78.7857819	42.7738648	Code_254_1960	254	1960	7/15/2014	16:15:08	1064160703075	10001	0	/uBTtWJp2EM/VyurCtSr4Q==
\das_output_NOT_encrypted.dmm	False	36	-78.7857819	42.7738648	Code_47_1960	47	1960	7/15/2014	16:15:08	1064173908408	10001	0	xhJoVCT/lUKPlbmivRR+OA==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_254_1960	254	1960	7/15/2014	16:15:08	1064105642152	10001	0	/zSZpXR1MxKe7H03NxfxLw==
\das_output_NOT_encrypted.dmm	False	36	-78.7857819	42.7738648	Code_62_1960	62	1960	7/15/2014	16:15:08	1064150649331	10001	0	UKptzmiqrr7pl/QRonG/TQ==
\das_output_NOT_encrypted.dmm	False	36	-78.7857819	42.7738648	Code_255_1960	255	1960	7/15/2014	16:15:08	1064157085023	10001	0	UAaN0FfRa5kPCWIjGq2Dlg==
\das_output_NOT_encrypted.dmm	False	36	-78.7857819	42.7738648	Code_106_1960	106	1960	7/15/2014	16:15:08	1064160023280	10001	0	vCRSm99TW+iv3jrlPo5+dA==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_153_1960	153	1960	7/15/2014	16:15:08	1064108522562	10001	0	OA034wPmXXWr4ueqa3quDg==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_35_1960	35	1960	7/15/2014	16:15:08	1064124687280	10001	0	cIcNmVDoX6L7yCMmwfneiw==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_192_1960	192	1960	7/15/2014	16:15:08	1064127974049	10001	0	EEmkuciWEs31Z4ROwB9/AA==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_112_1960	112	1960	7/15/2014	16:15:08	1064129170767	10001	0	gNm7A4LXkAbZojKljkgusw==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_14_1960	14	1960	7/15/2014	16:15:08	1064118381434	10001	0	WHmxQDjtpFinLvpq5fzIVg==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_38_1960	38	1960	7/15/2014	16:15:08	1064121269229	10001	0	aB1L7ZeOtv47/yh6wCvIzw==
\das_output_NOT_encrypted.dmm	False	37	-78.7857819	42.7738648	Code_19_1960	19	1960	7/15/2014	16:15:08	1064123227382	10001	0	iS+f1SSEQkVZ2iDlhWJcEg==
